Species ID,Park Name,Category,Order,Family,Scientific Name,Common Names,Record Status,Occurrence,Nativeness,Abundance,Seasonality,Conservation Status,
ACAD-1430,Acadia National Park,Amphibian,Anura,Bufonidae,Bufo americanus,"American Toad, Common Toad",Approved,Present,Native,Uncommon,Breeder,,
ACAD-1431,Acadia National Park,Amphibian,Anura,Hylidae,Hyla versicolor,"Gray Treefrog, Rain Toad, Tree Toad",Approved,Not Present (Historical Report),Unknown,,,,
ACAD-1432,Acadia National Park,Amphibian,Anura,Hylidae,Pseudacris crucifer,Spring Peeper,Approved,Present,Native,Abundant,Breeder,,
ACAD-1433,Acadia National Park,Amphibian,Anura,Ranidae,Rana catesbeiana,Bullfrog,Approved,Present,Native,Common,Breeder,,
ACAD-1434,Acadia National Park,Amphibian,Anura,Ranidae,Rana clamitans,"Green Frog, Spring Frog",Approved,Present,Native,Common,Breeder,,
ACAD-1435,Acadia National Park,Amphibian,Anura,Ranidae,Rana palustris,Pickerel Frog,Approved,Present,Native,Abundant,Breeder,,
ACAD-1436,Acadia National Park,Amphibian,Anura,Ranidae,Rana pipiens,"Common Frog, Leopard Frog, Meadow Frog, Northern Leopard Frog",Approved,Not Present (Historical Report),Unknown,,,,
ACAD-1437,Acadia National Park,Amphibian,Anura,Ranidae,Rana sylvatica,Wood Frog,Approved,Present,Native,Common,Breeder,,
ACAD-1438,Acadia National Park,Amphibian,Caudata,Ambystomatidae,Ambystoma laterale,Blue-Spotted Salamander,Approved,Not Confirmed,Not Native,,,,
ACAD-1439,Acadia National Park,Amphibian,Caudata,Ambystomatidae,Ambystoma maculatum,Spotted Salamander,Approved,Present,Native,Common,Breeder,,
ACAD-1440,Acadia National Park,Amphibian,Caudata,Plethodontidae,Desmognathus fuscus,"Dusky Salamander, Northern Dusky Salamander",Approved,Present,Native,Common,Breeder,,
ACAD-1441,Acadia National Park,Amphibian,Caudata,Plethodontidae,Eurycea bislineata,"Northern Two-Lined Salamander, Two-Lined Salamander",Approved,Present,Native,Common,Breeder,,
ACAD-1442,Acadia National Park,Amphibian,Caudata,Plethodontidae,Hemidactylium scutatum,Four-Toed Salamander,Approved,Present,Native,Common,Breeder,,
ACAD-1443,Acadia National Park,Amphibian,Caudata,Plethodontidae,Plethodon cinereus,"Eastern Red-Backed Salamander, Northern Redback Salamander, Red-Backed Salamander",Approved,Not Present (Historical Report),Native,,Breeder,,
ACAD-1444,Acadia National Park,Amphibian,Caudata,Salamandridae,Notophthalmus viridescens,"Common Newt, Eastern Newt, Ebbet, Red Eft, Red-Spotted Newt",Approved,Present,Native,Uncommon,Breeder,,
ARCH-1284,Arches National Park,Amphibian,Anura,Bufonidae,Bufo punctatus,Red-Spotted Toad,Approved,Present,Native,Common,Breeder,,
ARCH-1285,Arches National Park,Amphibian,Anura,Bufonidae,Bufo woodhousii,Woodhouse's Toad,Approved,Present,Native,Common,Breeder,,
ARCH-1286,Arches National Park,Amphibian,Anura,Hylidae,Hyla arenicolor,Canyon Treefrog,Approved,Not Confirmed,Native,,,,
ARCH-1287,Arches National Park,Amphibian,Anura,Ranidae,Rana catesbeiana,American Bullfrog,Approved,Present,Not Native,Common,Breeder,,
ARCH-1288,Arches National Park,Amphibian,Anura,Ranidae,Rana pipiens,Northern Leopard Frog,Approved,Present,Native,Unknown,,,
